Date,PX_LAST,Change %,Change
2019-01-20,908.88,0.0073,6.580000000000041
2019-01-27,908.67,-0.0002,-0.2100000000000363
2019-02-10,950.89,0.04650000000000001,42.22000000000003
2019-02-17,988.91,0.04,38.01999999999998
2019-02-24,979.63,-0.009399999999999999,-9.279999999999973
2019-03-03,985.25,0.005699999999999999,5.6200000000000045
2019-03-10,1004.12,0.0192,18.870000000000005
2019-03-17,988.71,-0.015300000000000001,-15.409999999999968
2019-03-24,980.76,-0.008,-7.950000000000045
2019-03-31,989.26,0.0087,8.5
2019-04-07,982.9,-0.0064,-6.360000000000014
2019-04-14,966.21,-0.017,-16.68999999999994
2019-04-21,979.64,0.0139,13.42999999999995
2019-04-28,974.14,-0.005600000000000001,-5.5
2019-05-05,952.55,-0.0222,-21.590000000000032
2019-05-12,976.48,0.025099999999999997,23.930000000000064
2019-05-19,970.03,-0.0066,-6.4500000000000455
2019-05-26,959.88,-0.0105,-10.149999999999975
2019-06-02,958.28,-0.0017000000000000001,-1.6000000000000227
2019-06-09,953.61,-0.0049,-4.669999999999959
2019-06-16,959.2,0.0059,5.590000000000032
2019-06-23,949.94,-0.0097,-9.259999999999993
2019-06-30,975.34,0.026699999999999998,25.399999999999977
2019-07-07,975.4,0.0001,0.0599999999999454
2019-07-14,982.34,0.0070999999999999995,6.940000000000055
2019-07-21,993.35,0.011200000000000002,11.009999999999993
2019-07-28,991.1,-0.0023,-2.25
2019-08-04,974.34,-0.0169,-16.75999999999999
2019-08-11,980.0,0.0058,5.659999999999968
2019-08-18,992.45,0.0127,12.450000000000044
2019-08-25,984.06,-0.0085,-8.3900000000001
2019-09-01,974.08,-0.0101,-9.979999999999905
2019-09-08,987.22,0.013500000000000002,13.139999999999986
2019-09-15,990.36,0.0032,3.1399999999999864
2019-09-22,997.84,0.0076,7.480000000000018
2019-09-29,987.59,-0.0103,-10.25
2019-10-06,991.84,0.0043,4.25
2019-10-13,989.2,-0.0027,-2.6399999999999864
2019-10-20,996.57,0.0075,7.370000000000003
2019-10-27,1015.59,0.0191,19.019999999999985
2019-11-03,1022.49,0.0068000000000000005,6.899999999999977
2019-11-10,1010.03,-0.012199999999999999,-12.460000000000036
2019-11-17,977.78,-0.0319,-32.25
2019-11-24,970.75,-0.0072,-7.029999999999973
2019-12-01,963.56,-0.0074,-7.190000000000055
2019-12-08,966.18,0.0027,2.6200000000000045
2019-12-15,956.41,-0.0101,-9.769999999999982
2019-12-22,963.51,0.0074,7.100000000000023
2019-12-29,965.14,0.0017000000000000001,1.6299999999999957
2020-01-05,968.54,0.0034999999999999996,3.3999999999999773
2020-01-12,978.96,0.0108,10.420000000000073
2020-01-19,991.46,0.0128,12.5
2020-01-26,936.62,-0.0553,-54.84000000000003
2020-02-02,940.75,0.0044,4.129999999999996
2020-02-09,937.45,-0.0034999999999999996,-3.2999999999999545
2020-02-16,933.09,-0.004699999999999999,-4.360000000000014
2020-02-23,882.19,-0.0545,-50.89999999999998
2020-03-01,891.44,0.0105,9.25
2020-03-08,761.78,-0.14550000000000002,-129.66000000000008
2020-03-15,709.73,-0.0683,-52.04999999999996
2020-03-22,696.06,-0.019299999999999998,-13.670000000000073
2020-03-29,701.8,0.008199999999999999,5.740000000000009
2020-04-05,757.94,0.08,56.1400000000001
2020-04-12,789.6,0.0418,31.659999999999968
2020-04-19,776.66,-0.016399999999999998,-12.940000000000056
2020-04-26,769.11,-0.0097,-7.549999999999954
2020-05-03,813.73,0.057999999999999996,44.620000000000005
2020-05-10,827.03,0.0163,13.299999999999956
2020-05-17,852.74,0.0311,25.71000000000004
2020-05-24,864.47,0.0138,11.730000000000018
2020-05-31,886.22,0.0252,21.75
2020-06-07,863.52,-0.0256,-22.700000000000045
2020-06-14,868.56,0.0058,5.039999999999964
2020-06-21,851.98,-0.0191,-16.579999999999927
2020-06-28,847.61,-0.0051,-4.3700000000000045
2020-07-05,871.21,0.0278,23.600000000000023
2020-07-12,872.02,0.0009,0.8099999999999454
2020-07-19,829.16,-0.0492,-42.860000000000014
2020-07-26,798.39,-0.0371,-30.769999999999985
2020-08-02,841.46,0.053899999999999997,43.07000000000005
2020-08-09,850.74,0.011000000000000001,9.279999999999973
2020-08-16,854.78,0.004699999999999999,4.039999999999964
2020-08-23,878.98,0.028300000000000002,24.200000000000045
2020-08-30,901.54,0.025699999999999997,22.559999999999945
2020-09-06,888.97,-0.0139,-12.569999999999936
2020-09-13,900.95,0.013500000000000002,11.980000000000018
2020-09-20,908.27,0.008100000000000001,7.319999999999936
2020-09-27,909.91,0.0018,1.6399999999999864
2020-10-04,924.0,0.0155,14.090000000000032
2020-10-11,943.3,0.0209,19.299999999999955
2020-10-18,961.26,0.019,17.960000000000036
2020-10-25,925.47,-0.037200000000000004,-35.789999999999964
2020-11-01,938.29,0.0139,12.819999999999936
2020-11-08,966.29,0.0298,28.0
2020-11-15,990.0,0.0245,23.71000000000004
2020-11-22,1010.22,0.0204,20.220000000000027
2020-11-29,1021.49,0.011200000000000002,11.269999999999982
2020-12-06,1045.96,0.024,24.470000000000027
2020-12-13,1067.46,0.0206,21.5
2020-12-20,1084.42,0.0159,16.960000000000036
2020-12-27,1103.87,0.0179,19.449999999999815
2021-01-03,1167.69,0.057800000000000004,63.82000000000016
2021-01-10,1194.2,0.0227,26.50999999999999
2021-01-17,1166.78,-0.023,-27.420000000000076
2021-01-24,1056.61,-0.0944,-110.17000000000009
2021-01-31,1126.91,0.0665,70.30000000000018
2021-02-07,1114.93,-0.0106,-11.980000000000018
2021-02-14,1173.5,0.0525,58.569999999999936
2021-02-21,1168.47,-0.0043,-5.029999999999973
2021-02-28,1168.69,0.0002,0.2200000000000272
2021-03-07,1181.56,0.011000000000000001,12.86999999999989
2021-03-14,1194.05,0.0106,12.490000000000007
2021-03-21,1162.21,-0.026699999999999998,-31.83999999999992
2021-03-28,1224.45,0.0536,62.24000000000001
2021-04-04,1231.66,0.0059,7.210000000000036
2021-04-11,1238.71,0.005699999999999999,7.0499999999999545
2021-04-18,1248.53,0.0079,9.819999999999936
